layer226: 0.9924598452  beta: 0.042229423493797595
layer227: 0.9924891647  beta: 0.040621660812148186
layer228: 0.9925163143  beta: 0.03907619677201521
layer229: 0.9925414637  beta: 0.037624532894886265
layer230: 0.9925648110  beta: 0.03629660766079623
layer231: 0.9925865761  beta: 0.03511950411367515
layer232: 0.9926069929  beta: 0.03411632884955357
layer233: 0.9926263032  beta: 0.03330533835423874
layer234: 0.9926447508  beta: 0.03269934523069862
layer235: 0.9926625777  beta: 0.03230540167260464
layer236: 0.9926800206  beta: 0.03212473710650593
layer237: 0.9926973088  beta: 0.032152921371148876
layer238: 0.9927146631  beta: 0.032380228858659404
layer239: 0.9927322938  beta: 0.03279218475947768
layer240: 0.9927503996  beta: 0.033370274653278104
layer241: 0.9927691659  beta: 0.03409278942752193
layer242: 0.9927887628  beta: 0.034935760163851866
layer243: 0.9928093421  beta: 0.035873918125536
layer244: 0.9928310357  beta: 0.03688160163237296
layer245: 0.9928539523  beta: 0.03793353183438175
layer246: 0.9928781757  beta: 0.03900539657327606
layer247: 0.9929037623  beta: 0.04007421345165318
layer248: 0.9929307401  beta: 0.0411184828440819
layer249: 0.9929591069  beta: 0.04211817950868171
layer250: 0.9929888298  beta: 0.04305465916415737
layer251: 0.9930198448  beta: 0.04391056853856348
layer252: 0.9930520563  beta: 0.044669842585321765
layer253: 0.9930853386  beta: 0.04531785274933648
layer254: 0.9931195371  beta: 0.04584173935166461
layer255: 0.9931544715  beta: 0.04623092419931454
layer256: 0.9931899404  beta: 0.04647776141325492
layer257: 0.9932257274  beta: 0.046578250089068476
layer258: 0.9932616086  beta: 0.04653270649308716
layer259: 0.9932973616  beta: 0.04634628049499412
layer260: 0.9933327749  beta: 0.046029204549756
layer261: 0.9933676569  beta: 0.045596685866359093
layer262: 0.9934018448  beta: 0.045068392764475954
layer263: 0.9934352108  beta: 0.0444675401374965
layer264: 0.9934676660  beta: 0.04381963791954915
layer265: 0.9934991625  beta: 0.04315101929986318
layer266: 0.9935296915  beta: 0.042487301083807195
layer267: 0.9935592801  beta: 0.04185193961146631
layer268: 0.9935879861  beta: 0.04126503065258426
layer269: 0.9936158909  beta: 0.04074246562662183
layer270: 0.9936430934  beta: 0.040295508283268194
layer271: 0.9936697026  beta: 0.03993080503763155
layer272: 0.9936958328  beta: 0.03965079544126467
layer273: 0.9937215976  beta: 0.03945445027190516
layer274: 0.9937471073  beta: 0.03933823450068076
layer275: 0.9937724663  beta: 0.03929717163540397
layer276: 0.9937977723  beta: 0.03932587654171127
layer277: 0.9938231163  beta: 0.039419428919516344
layer278: 0.9938485841  beta: 0.03957398178886756
layer279: 0.9938742576  beta: 0.039787038338666085
layer280: 0.9939002168  beta: 0.040057381493640326
layer281: 0.9939265418  beta: 0.04038469456863383
layer282: 0.9939533132  beta: 0.04076895773141334
layer283: 0.9939806133  beta: 0.04120973479465062
layer284: 0.9940085251  beta: 0.04170547370745793
layer285: 0.9940371314  beta: 0.04225293283623052
layer286: 0.9940665120  beta: 0.04284681843998975
layer287: 0.9940967414  beta: 0.043479682978923795
layer288: 0.9941278853  beta: 0.04414209496713219
layer289: 0.9941599981  beta: 0.04482305362164498
layer290: 0.9941931195  beta: 0.04551058907884465
layer291: 0.9942272728  beta: 0.04619246442135914
layer292: 0.9942624636  beta: 0.04685688191925892
layer293: 0.9942986795  beta: 0.04749309490856533
layer294: 0.9943358909  beta: 0.04809183944969755
layer295: 0.9943740524  beta: 0.04864552516795633
layer296: 0.9944131044  beta: 0.04914815920978388
layer297: 0.9944529754  beta: 0.049595016272623346
layer298: 0.9944935829  beta: 0.04998210589430846
layer299: 0.9945348350  beta: 0.05030552074426725
layer300: 0.9945766297  beta: 0.05056077256721406
layer301: 0.9946188542  beta: 0.05074223265982622
layer302: 0.9946613831  beta: 0.05084278912176256
layer303: 0.9947040767  beta: 0.05085381236435983
layer304: 0.9947467791  beta: 0.05076548367592701
layer305: 0.9947893175  beta: 0.05056749149306568
layer306: 0.9948315033  beta: 0.05025004194259153
layer307: 0.9948731349  beta: 0.04980507301993875
layer308: 0.9949140029  beta: 0.04922751664310336
layer309: 0.9949538974  beta: 0.04851643095257164
layer310: 0.9949926169  beta: 0.047675834373651874
layer311: 0.9950299778  beta: 0.046715114121088405
layer312: 0.9950658239  beta: 0.04564894765553529
layer313: 0.9951000335  beta: 0.044496751716793695
layer314: 0.9951325255  beta: 0.04328174271697831
layer315: 0.9951632617  beta: 0.04202973980597484
layer316: 0.9951922469  beta: 0.04076786010125591
layer317: 0.9952195262  beta: 0.03952324518700885
layer318: 0.9952451801  beta: 0.03832192673470255
layer319: 0.9952693189  beta: 0.03718789801926067
layer320: 0.9952920763  beta: 0.03614241776726203
layer321: 0.9953136024  beta: 0.03520354061483198
layer322: 0.9953340590  beta: 0.034385847824769035
layer323: 0.9953536134  beta: 0.03370034254403542
layer324: 0.9953724351  beta: 0.03315447312559132
layer325: 0.9953906926  beta: 0.032752252267969045
layer326: 0.9954085509  beta: 0.03249444550258514
layer327: 0.9954261698  beta: 0.032378807393695835
layer328: 0.9954437030  beta: 0.03240034653842716
layer329: 0.9954612969  beta: 0.03255160123876648
layer330: 0.9954790900  beta: 0.032822907832053674
layer331: 0.9954972118  beta: 0.03320264499938014
layer332: 0.9955157817  beta: 0.03367744180249116
layer333: 0.9955349075  beta: 0.034232345919698065
layer334: 0.9955546839  beta: 0.03485096146324166
layer335: 0.9955751898  beta: 0.035515581119518205
layer336: 0.9955964864  beta: 0.0362073517805548
layer337: 0.9956186142  beta: 0.03690652179752872
layer338: 0.9956415906  beta: 0.03759281677110739
layer339: 0.9956654075  beta: 0.03824597589413692
layer340: 0.9956900302  beta: 0.03884645156990958
layer341: 0.9957153969  beta: 0.03937623477308333
layer342: 0.9957414200  beta: 0.03981972542777501
layer343: 0.9957679889  beta: 0.040164532483160306
layer344: 0.9957949744  beta: 0.04040207449078417
layer345: 0.9958222344  beta: 0.04052786683240869
layer346: 0.9958496201  beta: 0.04054142723773182
layer347: 0.9958769825  beta: 0.040445798461811504
layer348: 0.9959041776  beta: 0.04024676000105082
layer349: 0.9959310717  beta: 0.03995186097201059
layer350: 0.9959575431  beta: 0.03956943874375657
layer351: 0.9959834845  beta: 0.039107785642704784
layer352: 0.9960088026  beta: 0.038574591323613086
layer353: 0.9960334178  beta: 0.03797673070593495
layer354: 0.9960572624  beta: 0.0373203997385448
layer355: 0.9960802808  beta: 0.03661153684750167
layer356: 0.9961024282  beta: 0.03585641789761479
layer357: 0.9961236709  beta: 0.03506228493000341
layer358: 0.9961439874  beta: 0.03423786809572807
layer359: 0.9961633687  beta: 0.03339368576531432
layer360: 0.9961818196  beta: 0.032542054266422135
layer361: 0.9961993595  beta: 0.03169679590947077
layer362: 0.9962160217  beta: 0.030872689152594848
layer363: 0.9962318537  beta: 0.03008474604958635
layer364: 0.9962469148  beta: 0.02934742199673658
layer365: 0.9962612751  beta: 0.028673860084088613
layer366: 0.9962750122  beta: 0.028075251880580646
layer367: 0.9962882095  beta: 0.027560366612368298
layer368: 0.9963009532  beta: 0.027135270138582128
layer369: 0.9963133304  beta: 0.02680323031733039
layer370: 0.9963254268  beta: 0.02656478921876144
layer371: 0.9963373254  beta: 0.026417974818727277
layer372: 0.9963491051  beta: 0.026358622743770273
layer373: 0.9963608397  beta: 0.02638077898250374
layer374: 0.9963725970  beta: 0.026477154303082798
layer375: 0.9963844387  beta: 0.026639598779067887
layer376: 0.9963964201  beta: 0.026859560393110674
layer377: 0.9964085898  beta: 0.027128486906402433
layer378: 0.9964209902  beta: 0.027438127986951832
layer379: 0.9964336577  beta: 0.027780698202912284
layer380: 0.9964466229  beta: 0.02814887328732701
layer381: 0.9964599108  beta: 0.02853561258198751
layer382: 0.9964735410  beta: 0.028933827879538614
layer383: 0.9964875268  beta: 0.02933594888498506
layer384: 0.9965018749  beta: 0.029733462698926433
